CLIENT_ID,APPEARANCE_COUNT
100283344,2
103758371,2
101294562,2
101382908,2
102227094,2
102848977,2
102936638,2
103175614,2
103397627,2
103448008,2
103528421,2
104202547,2
101156050,2
104364633,2
104982738,2
106274320,2
107028450,2
107615475,2
108206316,2
108419049,2
10850028,2
108928541,2
108827660,2
109820111,2
123169441,2
110131106,2
110190545,2
112690288,2
113802503,2
1145968,2
114935604,2
117770800,2
118045090,2
118321829,2
119015324,2
119057854,2
119079360,2
120141194,2
120497200,2
121103152,2
121271160,2
121399866,2
121400569,2
121754631,2
122492463,2
155661210,2
123780695,2
125697793,2
142819788,2
126550244,2
127342536,2
127437325,2
127653170,2
128213105,2
128290051,2
129250514,2
130118484,2
130884551,2
132243575,2
135399490,2
13667617,2
138579618,2
139058907,2
14066445,2
14190555,2
142554750,2
142716422,2
143737209,2
126191630,2
143997889,2
145572567,2
125267902,2
145755860,2
145802576,2
147014616,2
147715565,2
147854378,2
148030258,2
148383556,2
148669143,2
148980294,2
149754537,2
150277453,2
153878681,2
153957712,2
154479549,2
154758390,2
155187451,2
155283684,2
155291770,2
144672539,2
155378766,2
155856211,2
213897638,2
169017813,2
157520224,2
158959093,2
159858279,2
160353371,2
160802726,2
161502005,2
161768988,2
162045335,2
162046700,2
162610378,2
162854170,2
163603724,2
16376487,2
163789257,2
163977408,2
165307360,2
165449997,2
165975045,2
166008993,2
166010804,2
181229540,2
156539421,2
169167100,2
170419764,2
170521558,2
171563384,2
172009947,2
172809821,2
173990258,2
174880922,2
175241692,2
175718362,2
177005879,2
17720063,2
177416990,2
177567213,2
1785650,2
179231172,2
179642134,2
179761003,2
180377963,2
181012026,2
16834224,2
181846629,2
197663641,2
198168380,2
184731875,2
186494645,2
187040023,2
187786157,2
187965678,2
188441097,2
188642468,2
189375740,2
189467852,2
189743719,2
192711142,2
193354436,2
193884843,2
193920811,2
194116130,2
194213771,2
195499563,2
195791804,2
196404569,2
196837477,2
183034987,2
184198710,2
200079007,2
20087536,2
200926142,2
201360299,2
201721156,2
201806402,2
201880720,2
204879238,2
205036865,2
205256917,2
206774799,2
207491320,2
207534543,2
207745370,2
208267767,2
208311050,2
209188112,2
21047713,2
211918478,2
212265916,2
214144381,2
214253583,2
21470071,2
231684443,2
215968699,2
216979277,2
217320899,2
217671684,2
222201767,2
22271154,2
222754906,2
222819837,2
223189157,2
22323247,2
223793070,2
224117856,2
224154938,2
224160875,2
226309142,2
227214712,2
229824747,2
230806963,2
232699775,2
215691960,2
233683122,2
24563866,2
244957092,2
234982131,2
235096252,2
235160393,2
235356894,2
236338251,2
236755342,2
237513450,2
237690199,2
239598720,2
240602127,2
241003843,2
24151246,2
241848512,2
241876029,2
243323744,2
243556162,2
243577564,2
244058081,2
233808742,2
245460284,2
247544705,2
266220331,2
256146882,2
248380877,2
24848117,2
248880267,2
249020146,2
24904430,2
249411143,2
250487467,2
250688238,2
541873709,2
251236556,2
251728751,2
252090007,2
252503892,2
254078391,2
25452392,2
255266331,2
255270151,2
255584510,2
255626501,2
247741725,2
