CLIENT_ID,TOTAL_ACCOUNTS,DEPOSITS,WITHDRAWALS,TOTAL_DEPOSITS_AMOUNT,TOTAL_WITHDRAWALS_AMOUNT,LAST_BALANCE,MAX_LN,TOTAL_LOANS,FIDO_SCORE_AT_SIGNUP,AGE,GENDER,REGION,INCOME_VALUE,CUST_LOCATION,LOAN_SEGMENT,BEHAVIORAL_SEGMENT,FIRST_ACCOUNT_LIFE_DAYS,FIRST_ACCOUNT_CLOSED_DATE,FIRST_ACCOUNT_STATE,SAVINGS_TIMING_CATEGORY,SIMPLIFIED_TIMING,DAYS_DISBURSEMENT_TO_SAVINGS,DAYS_REPAYMENT_TO_SAVINGS,REPAYMENT_STATE,PRIMARY_TIMING_CATEGORY,FIRST_ACCOUNT_STATUS,MONTHLY_DEPOSIT_FREQUENCY,MONTHLY_WITHDRAWAL_FREQUENCY,DAYS_ACTIVE
814869480,1,2,1,50.0000000000,-30.0000000000,20.1100000000,9,10,456,31,FEMALE,Ashanti Region,351 GHS - 700 GHS,Adum,high_ln_savers,savers,48,,ACTIVE,before_disbursement,before_disbursement,-30,,PENDING,before_disbursement,still_active,2.000000,1.000000,11
814924830,1,1,0,200.0000000000,0.0000000000,200.0000000000,-1,,315,46,MALE,Greater Accra Region,Above 1800 GHS,Shai-Osudoku District,eligible_no_loan_savers,savers,11,,ACTIVE,no_loan_history,no_loan_history,,,,no_loan_history,still_active,1.000000,0.000000,0
815191974,1,1,0,20.0000000000,0.0000000000,20.0000000000,0,1,256,23,FEMALE,Volta Region,701 GHS - 1000 GHS,Agortime Ziope District,low_ln_savers,savers,19,,ACTIVE,after_loan_closed,after_loan_closed,0,-14,PAID,after_loan_closed,still_active,1.000000,0.000000,0
815272131,1,6,4,265.0000000000,-240.0000000000,25.6300000000,0,1,321,36,MALE,Greater Accra Region,701 GHS - 1000 GHS,Ashaiman Municipal,low_ln_savers,savers,34,,ACTIVE,before_disbursement,before_disbursement,-2,-18,PAID,before_disbursement,still_active,6.000000,4.000000,29
815291806,1,6,2,120.0000000000,-100.0000000000,20.0400000000,-1,,89,27,MALE,Upper West Region,Below 350 GHS,Wa West District,non_eligible_savers,savers,43,,ACTIVE,no_loan_history,no_loan_history,,,,no_loan_history,still_active,6.000000,2.000000,2
815326499,1,3,3,280.0200000000,-271.0000000000,10.1900000000,35,36,712,25,FEMALE,Greater Accra Region,Below 350 GHS,Accra Metropolitan,high_ln_savers,savers,136,,ACTIVE,before_disbursement,before_disbursement,-113,,PENDING,before_disbursement,still_active,3.000000,3.000000,27
815334620,1,6,12,2102.0000000000,-2045.0000000000,59.9100000000,12,13,531,31,MALE,Ashanti Region,Above 1800 GHS,Ahodwo,high_ln_savers,wallet_users,16,,ACTIVE,with_active_loan,with_active_loan,0,,PENDING,with_active_loan,still_active,6.000000,12.000000,14
815492282,1,1,0,20.0000000000,0.0000000000,20.0000000000,12,13,481,34,FEMALE,Greater Accra Region,701 GHS - 1000 GHS,Ledzokuku Municipal,high_ln_savers,savers,52,,ACTIVE,with_active_loan,with_active_loan,3,,PENDING,with_active_loan,still_active,1.000000,0.000000,0
815499754,1,2,1,100.0000000000,-0.0600000000,100.9600000000,22,23,671,30,FEMALE,Ashanti Region,701 GHS - 1000 GHS,Adiebeba,high_ln_savers,savers,129,,ACTIVE,after_loan_closed,after_loan_closed,23,0,PAID,after_loan_closed,still_active,1.000000,0.500000,56
815501071,1,1,1,100.0000000000,-80.0000000000,20.0300000000,1,2,290,33,MALE,Volta Region,351 GHS - 700 GHS,Keta Municipal,low_ln_savers,savers,27,,ACTIVE,after_loan_closed,after_loan_closed,0,-9,PAID,after_loan_closed,still_active,1.000000,1.000000,1
815511200,1,1,0,21.0000000000,0.0000000000,21.0000000000,-1,,226,33,MALE,Greater Accra Region,1401 GHS - 1800 GHS,Ga South Municipal,non_eligible_savers,savers,22,,ACTIVE,no_loan_history,no_loan_history,,,,no_loan_history,still_active,1.000000,0.000000,0
815546339,1,2,2,42.0000000000,-20.0000000000,22.0400000000,3,4,290,40,MALE,Greater Accra Region,1401 GHS - 1800 GHS,Ayawaso West Municipal,mid_ln_savers,savers,42,,ACTIVE,before_disbursement,before_disbursement,-26,,PENDING,before_disbursement,still_active,2.000000,2.000000,4
815579786,1,1,0,21.0000000000,0.0000000000,21.0000000000,9,10,442,34,FEMALE,Eastern Region,1001 GHS - 1400 GHS,Koforidua,high_ln_savers,savers,53,,ACTIVE,with_active_loan,with_active_loan,0,,LATE,with_active_loan,still_active,1.000000,0.000000,0
815751430,1,8,11,5867.0100000000,-5857.0100000000,10.6100000000,36,37,707,31,MALE,Accra,701 GHS - 1000 GHS,Achimota,high_ln_savers,wallet_users,165,,ACTIVE,before_disbursement,before_disbursement,-81,,PENDING,before_disbursement,still_active,4.000000,5.500000,57
815769020,1,2,2,240.0000000000,-40.0000000000,200.2000000000,0,1,321,21,FEMALE,Greater Accra Region,1401 GHS - 1800 GHS,Tema Metropolitan,low_ln_savers,savers,11,,ACTIVE,with_active_loan,with_active_loan,0,,PENDING,with_active_loan,still_active,2.000000,2.000000,5
815781053,1,3,2,4400.0000000000,-3215.0000000000,1191.5300000000,-1,,329,27,MALE,Greater Accra Region,Above 1800 GHS,Adenta Municipal,eligible_no_loan_savers,ultra_savers,17,,ACTIVE,no_loan_history,no_loan_history,,,,no_loan_history,still_active,3.000000,2.000000,15
815828198,3,6,5,180.0000000000,-120.0600000000,60.0600000000,5,6,290,20,FEMALE,Eastern Region,351 GHS - 700 GHS,Koforidua,mid_ln_savers,wallet_users,5,2025-09-08 11:45:27.000,CLOSED,before_disbursement,before_disbursement,-40,-43,PARTIALLY_PAID,before_disbursement,closed,6.000000,5.000000,41
815885169,1,1,0,5000.0000000000,0.0000000000,5000.0000000000,-1,,276,34,FEMALE,Bono Region,Above 1800 GHS,Sunyani Municipal,eligible_no_loan_savers,savers,31,,ACTIVE,no_loan_history,no_loan_history,,,,no_loan_history,still_active,1.000000,0.000000,0
815911861,1,5,2,140.0000000000,-120.0000000000,20.5300000000,3,4,410,24,FEMALE,Ashanti Region,351 GHS - 700 GHS,Ejura Sekyredumasi Municipal,mid_ln_savers,savers,43,,ACTIVE,before_disbursement,before_disbursement,-21,-29,PARTIALLY_PAID,before_disbursement,still_active,5.000000,2.000000,32
816002237,1,1,0,50.0000000000,0.0000000000,50.0000000000,6,7,200,32,MALE,Ashanti Region,Above 1800 GHS,Oforikrom Municipal,mid_ln_savers,savers,8,,ACTIVE,with_active_loan,with_active_loan,73,0,LATE,with_active_loan,still_active,1.000000,0.000000,0
816019577,1,1,0,30.0000000000,0.0000000000,30.0000000000,4,5,278,46,MALE,Northern Region,Above 1800 GHS,Yendi Municipal,mid_ln_savers,savers,6,,ACTIVE,after_loan_closed,after_loan_closed,66,25,PAID,after_loan_closed,still_active,1.000000,0.000000,0
816060801,1,2,0,30.0000000000,0.0000000000,30.0000000000,1,2,310,31,FEMALE,Greater Accra Region,Below 350 GHS,Ga Central Municipal,low_ln_savers,savers,17,,ACTIVE,before_disbursement,before_disbursement,0,,PENDING,before_disbursement,still_active,2.000000,0.000000,0
816094312,1,1,0,50.0000000000,0.0000000000,50.0000000000,13,14,504,36,MALE,Eastern Region,Above 1800 GHS,Akwapim North Municipal,high_ln_savers,savers,16,,ACTIVE,after_loan_closed,after_loan_closed,35,0,PAID,after_loan_closed,still_active,1.000000,0.000000,0
816147299,1,1,0,51.0000000000,0.0000000000,51.0000000000,5,6,378,26,MALE,Greater Accra Region,1001 GHS - 1400 GHS,Ga Central Municipal,mid_ln_savers,savers,17,,ACTIVE,with_active_loan,with_active_loan,36,,PENDING,with_active_loan,still_active,1.000000,0.000000,0
816218460,1,58,8,4700.0000000000,-4300.8800000000,319.4200000000,29,30,436,38,MALE,Accra,351 GHS - 700 GHS,Dansoman,high_ln_savers,savers,113,,ACTIVE,before_disbursement,before_disbursement,-96,,PENDING,before_disbursement,still_active,14.500000,2.000000,110
816245261,1,2,0,100.0000000000,0.0000000000,100.0100000000,22,22,362,26,MALE,Ashanti Region,351 GHS - 700 GHS,Other,high_ln_savers,savers,3,,ACTIVE,with_active_loan,with_active_loan,6,,PENDING,with_active_loan,still_active,2.000000,0.000000,1
816442805,1,1,8,1500.0000000000,-1299.0000000000,210.6900000000,18,19,371,21,FEMALE,Greater Accra Region,701 GHS - 1000 GHS,Ga Central Municipal,high_ln_savers,wallet_users,44,,ACTIVE,with_active_loan,with_active_loan,97,-28,PAID,with_active_loan,still_active,1.000000,8.000000,28
816468258,1,9,0,900.0000000000,0.0000000000,906.4200000000,14,15,513,28,MALE,Central Region,1401 GHS - 1800 GHS,Gomoa Central District,high_ln_savers,ultra_savers,50,,ACTIVE,before_disbursement,before_disbursement,-3,,PENDING,before_disbursement,still_active,4.500000,0.000000,38
816542069,2,5,4,195.0000000000,-165.0400000000,30.1500000000,7,8,406,24,MALE,Greater Accra Region,351 GHS - 700 GHS,Kpone Katamanso Municipal,mid_ln_savers,savers,4,2025-09-15 10:41:13.000,CLOSED,before_disbursement,before_disbursement,-27,-33,PARTIALLY_PAID,before_disbursement,closed,5.000000,4.000000,22
816592150,4,12,33,2727.0000000000,-2507.8800000000,220.9300000000,2,3,349,30,MALE,Ashanti Region,351 GHS - 700 GHS,Ahodwo,low_ln_savers,wallet_users,5,2025-09-10 21:11:16.000,CLOSED,before_disbursement,before_disbursement,-34,-37,PARTIALLY_PAID,before_disbursement,closed,12.000000,33.000000,40
816857668,1,2,0,31.0000000000,0.0000000000,31.0000000000,19,20,471,37,FEMALE,Greater Accra Region,1401 GHS - 1800 GHS,Ga East Municipal,high_ln_savers,savers,28,,ACTIVE,before_disbursement,before_disbursement,-15,,PENDING,before_disbursement,still_active,2.000000,0.000000,0
816930205,1,8,0,500.0000000000,0.0000000000,500.3800000000,2,3,469,47,FEMALE,Bono Region,Above 1800 GHS,Jaman North District,low_ln_savers,ultra_savers,10,,ACTIVE,with_active_loan,with_active_loan,4,,PENDING,with_active_loan,still_active,8.000000,0.000000,7
817042105,1,3,1,144.0000000000,-120.0000000000,24.0800000000,1,2,501,23,MALE,Greater Accra Region,Above 1800 GHS,La Dade-Kotopon Municipal,low_ln_savers,savers,43,,ACTIVE,with_active_loan,with_active_loan,44,-17,LATE,with_active_loan,still_active,3.000000,1.000000,5
817223427,1,11,4,2500.0000000000,-1450.0000000000,1055.8400000000,22,23,523,35,MALE,Ashanti Region,Above 1800 GHS,Tanoso,high_ln_savers,ultra_savers,37,,ACTIVE,before_disbursement,before_disbursement,-34,,PENDING,before_disbursement,still_active,11.000000,4.000000,34
817278478,1,10,4,629.0300000000,-530.0300000000,100.8700000000,23,24,438,31,MALE,Central Region,351 GHS - 700 GHS,Kasoa,high_ln_savers,savers,85,,ACTIVE,before_disbursement,before_disbursement,-42,-81,LATE,before_disbursement,still_active,3.333333,1.333333,81
817303460,1,2,0,70.0000000000,0.0000000000,70.0400000000,10,11,439,25,FEMALE,Greater Accra Region,1001 GHS - 1400 GHS,Ga East Municipal,high_ln_savers,savers,45,,ACTIVE,before_disbursement,before_disbursement,-42,,PENDING,before_disbursement,still_active,2.000000,0.000000,4
817333347,1,1,1,50.0000000000,-30.0000000000,20.5100000000,26,27,662,30,MALE,Eastern Region,701 GHS - 1000 GHS,Nkawkaw,high_ln_savers,savers,125,,ACTIVE,before_disbursement,before_disbursement,-124,,,before_disbursement,still_active,0.500000,0.500000,51
817554323,1,3,0,51.0000000000,0.0000000000,51.3600000000,6,7,425,38,MALE,Greater Accra Region,351 GHS - 700 GHS,Ablekuma North Municipal,mid_ln_savers,savers,40,,ACTIVE,before_disbursement,before_disbursement,-36,,PENDING,before_disbursement,still_active,3.000000,0.000000,36
817557982,1,23,11,2697.0400000000,-2680.2400000000,21.5800000000,25,26,662,28,MALE,Eastern Region,351 GHS - 700 GHS,Koforidua,high_ln_savers,wallet_users,137,,ACTIVE,before_disbursement,before_disbursement,-92,,PENDING,before_disbursement,still_active,11.500000,5.500000,88
817680744,2,8,3,537.0000000000,-40.1200000000,497.1500000000,2,3,324,18,MALE,Ashanti Region,1401 GHS - 1800 GHS,Atwima Nwabiagya Municipal,low_ln_savers,savers,12,2025-09-15 18:24:02.000,CLOSED,before_disbursement,before_disbursement,-30,-39,PAID,before_disbursement,closed,8.000000,3.000000,41
817744810,1,22,5,473.0000000000,-440.0000000000,35.0300000000,14,15,357,33,MALE,Ahafo Region,1401 GHS - 1800 GHS,Tano North Municipal,high_ln_savers,wallet_users,39,,ACTIVE,before_disbursement,before_disbursement,-24,-36,PAID,before_disbursement,still_active,22.000000,5.000000,36
817752066,1,4,0,131.0000000000,0.0000000000,131.3100000000,15,16,661,29,FEMALE,Western North Region,1001 GHS - 1400 GHS,Bodi District,high_ln_savers,savers,26,,ACTIVE,before_disbursement,before_disbursement,-2,,PENDING,before_disbursement,still_active,4.000000,0.000000,18
817778249,1,3,0,145.0000000000,0.0000000000,145.3400000000,25,26,734,33,FEMALE,Western Region,701 GHS - 1000 GHS,Lagos Town,high_ln_savers,savers,18,,ACTIVE,before_disbursement,before_disbursement,0,,PENDING,before_disbursement,still_active,3.000000,0.000000,14
818053517,1,2,0,70.0000000000,0.0000000000,70.1300000000,14,15,700,33,FEMALE,Eastern Region,701 GHS - 1000 GHS,Kwahu East District,high_ln_savers,savers,15,,ACTIVE,with_active_loan,with_active_loan,5,,PENDING,with_active_loan,still_active,2.000000,0.000000,13
818064251,1,1,0,100.0000000000,0.0000000000,100.0000000000,1,2,337,24,MALE,Greater Accra Region,1001 GHS - 1400 GHS,Ga South Municipal,low_ln_savers,savers,28,,ACTIVE,before_disbursement,before_disbursement,-21,,PENDING,before_disbursement,still_active,1.000000,0.000000,0
818265962,2,23,5,540.1200000000,-540.2900000000,1.0700000000,24,25,576,28,FEMALE,Greater Accra Region,701 GHS - 1000 GHS,Ablekuma West Municipal,high_ln_savers,savers,6,2025-06-05 10:38:15.000,CLOSED,before_disbursement,before_disbursement,-129,,PENDING,before_disbursement,closed,5.750000,1.250000,97
818286496,1,3,1,510.0000000000,-500.0000000000,11.0100000000,38,39,690,22,FEMALE,Western Region,Below 350 GHS,Ekuase,high_ln_savers,savers,188,,ACTIVE,before_disbursement,before_disbursement,-3,,LATE,before_disbursement,still_active,3.000000,1.000000,12
818296236,1,2,0,220.0000000000,0.0000000000,220.0800000000,3,4,355,40,MALE,Central Region,1001 GHS - 1400 GHS,Awutu Senya District,mid_ln_savers,savers,40,,ACTIVE,before_disbursement,before_disbursement,-29,,PENDING,before_disbursement,still_active,2.000000,0.000000,8
818545323,1,2,1,120.0000000000,-100.0000000000,20.1300000000,5,6,434,26,FEMALE,Eastern Region,701 GHS - 1000 GHS,Aburi,mid_ln_savers,savers,43,,ACTIVE,before_disbursement,before_disbursement,-36,,PENDING,before_disbursement,still_active,2.000000,1.000000,11
818571730,1,4,6,1153.0000000000,-1135.5000000000,20.4000000000,2,3,426,31,MALE,Ashanti Region,351 GHS - 700 GHS,Tech,low_ln_savers,wallet_users,35,,ACTIVE,before_disbursement,before_disbursement,-5,,PENDING,before_disbursement,still_active,4.000000,6.000000,12
818574961,1,2,1,3020.0000000000,-2980.0000000000,40.2400000000,8,9,615,32,MALE,Greater Accra Region,Above 1800 GHS,Accra Metropolitan,high_ln_savers,savers,45,,ACTIVE,before_disbursement,before_disbursement,-35,,PENDING,before_disbursement,still_active,2.000000,1.000000,24
818580346,1,3,3,200.0000000000,-180.0000000000,20.1400000000,10,11,500,32,FEMALE,Ashanti Region,Above 1800 GHS,Asante Akim South Municipal,high_ln_savers,savers,16,,ACTIVE,before_disbursement,before_disbursement,-9,,PENDING,before_disbursement,still_active,3.000000,3.000000,8
818735220,1,1,0,30.0000000000,0.0000000000,30.0000000000,2,3,444,26,MALE,Greater Accra Region,Above 1800 GHS,Accra Metropolitan,low_ln_savers,savers,44,,ACTIVE,before_disbursement,before_disbursement,-28,,PENDING,before_disbursement,still_active,1.000000,0.000000,0
